url	source	date	title	company
https://job-boards.greenhouse.io/anthropic/jobs/5156057008	2026-05-05	greenhouse-api	Data Engineer, Safeguards	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5103078008	2026-05-05	greenhouse-api	Engineering Manager, Safeguards Data Infrastructure	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5195866008	2026-05-05	greenhouse-api	Product Management, Human Data Platform	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5191226008	2026-05-05	greenhouse-api	Software Engineer, Research Data Platform	Anthropic	added
https://job-boards.greenhouse.io/intercom/jobs/7807847	2026-05-05	greenhouse-api	Senior Analytics Engineer	Intercom	added
https://job-boards.eu.greenhouse.io/speechmatics/jobs/4719611101	2026-05-05	greenhouse-api	Data Engineer	Speechmatics	added
https://job-boards.greenhouse.io/airtable/jobs/8434287002	2026-05-05	greenhouse-api	AI Analytics Engineer (AI & Analytics Platform)	Airtable	added
https://job-boards.greenhouse.io/airtable/jobs/8470036002	2026-05-05	greenhouse-api	AI Analytics Engineer (Business Analytics)	Airtable	added
https://job-boards.greenhouse.io/airtable/jobs/8434307002	2026-05-05	greenhouse-api	AI Analytics Engineer (Marketing Analytics)	Airtable	added
https://jobs.ashbyhq.com/lindy/e56a424d-5a40-450b-8978-cd5e7c86deed	2026-05-05	ashby-api	Data Engineer	Lindy	added
https://jobs.ashbyhq.com/elevenlabs/4d12e97f-e637-49f1-a39c-7f32d6d364bb	2026-05-05	ashby-api	Data Operations 	ElevenLabs	added
https://jobs.ashbyhq.com/decagon/522cc0c1-67ce-4eaa-93cc-16a1a21a2566	2026-05-05	ashby-api	Engineering Manager, AI & Data Infrastructure	Decagon	added
https://jobs.ashbyhq.com/cohere/9baccd88-c051-474f-bfe8-6867fca54cee	2026-05-05	ashby-api	Data Engineer	Cohere	added
https://jobs.ashbyhq.com/sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f	2026-05-05	ashby-api	Product Manager, Agent Data Platform	Sierra	added
https://jobs.ashbyhq.com/sierra/0c892d11-9f19-4b8d-9c2b-409346c52b7a	2026-05-05	ashby-api	Software Engineer, Agent Data Platform	Sierra	added
https://job-boards.greenhouse.io/blackforestlabs/jobs/5019171008	2026-05-05	greenhouse-api	Member of Technical Staff - Large Scale Data Infrastructure	Black Forest Labs	added
https://job-boards.greenhouse.io/celonis/jobs/7687716003?gh_jid=7687716003	2026-05-05	greenhouse-api	Manager, Product Management - Data Pipeline & Integration	Celonis	added
https://job-boards.greenhouse.io/contentful/jobs/7544101	2026-05-05	greenhouse-api	Analytics Engineer	Contentful	added
https://job-boards.greenhouse.io/contentful/jobs/7544099	2026-05-05	greenhouse-api	Data Engineer	Contentful	added
https://careers.hellofresh.com/global/en/job/7559778?gh_jid=7559778	2026-05-05	greenhouse-api	Data Engineer, Global Data Products	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7699268?gh_jid=7699268	2026-05-05	greenhouse-api	Senior Data Engineer, Global Data Products	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7653253?gh_jid=7653253	2026-05-05	greenhouse-api	Senior Data Engineer, Marketing Customer Profile (f/m/x)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7722078?gh_jid=7722078	2026-05-05	greenhouse-api	Staff Analytics Engineer, Growth	HelloFresh	added
https://n26.com/en-eu/careers/positions/7883078?gh_jid=7883078	2026-05-05	greenhouse-api	Data Engineer - Platform Engineering 	N26	added
https://n26.com/en-eu/careers/positions/7841923?gh_jid=7841923	2026-05-05	greenhouse-api	Engineering Manager - Data Platform	N26	added
https://n26.com/en-eu/careers/positions/7861428?gh_jid=7861428	2026-05-05	greenhouse-api	Product Manager - Data Governance & Analytics Engineering	N26	added
https://traderepublic.com/en-de/about?jobId=6589276003&gh_jid=6589276003	2026-05-05	greenhouse-api	Analytics Engineer  (Berlin)	Trade Republic	added
https://traderepublic.com/en-de/about?jobId=7626425003&gh_jid=7626425003	2026-05-05	greenhouse-api	Analytics Engineering (London) 	Trade Republic	added
https://traderepublic.com/en-de/about?jobId=7623520003&gh_jid=7623520003	2026-05-05	greenhouse-api	Analytics Engineering (Paris) 	Trade Republic	added
https://traderepublic.com/en-de/about?jobId=7685052003&gh_jid=7685052003	2026-05-05	greenhouse-api	Senior Kafka Platform Engineer	Trade Republic	added
https://getyourguide.careers/jobs/7602318?gh_jid=7602318	2026-05-05	greenhouse-api	Data Engineering Manager, Supply	GetYourGuide	added
https://getyourguide.careers/jobs/7548475?gh_jid=7548475	2026-05-05	greenhouse-api	Senior Analytics Manager, Supply 	GetYourGuide	added
https://sumup.com/careers/positions/8529492002?gh_jid=8529492002	2026-05-05	greenhouse-api	Analytics Engineer	SumUp	added
https://sumup.com/careers/positions/8522383002?gh_jid=8522383002	2026-05-05	greenhouse-api	Senior Analytics Engineer	SumUp	added
https://sumup.com/careers/positions/8333836002?gh_jid=8333836002	2026-05-05	greenhouse-api	Senior Analytics Engineer - RevOps	SumUp	added
https://sumup.com/careers/positions/8498279002?gh_jid=8498279002	2026-05-05	greenhouse-api	Senior Analytics Engineer - Risk Analytics	SumUp	added
https://sumup.com/careers/positions/8364210002?gh_jid=8364210002	2026-05-05	greenhouse-api	(Senior) Data Engineer	SumUp	added
https://sumup.com/careers/positions/8364207002?gh_jid=8364207002	2026-05-05	greenhouse-api	Senior Data Engineer – AI AML Engineering	SumUp	added
https://sumup.com/careers/positions/8374318002?gh_jid=8374318002	2026-05-05	greenhouse-api	Senior Data Engineer – Risk & Compliance (CNP Protect)	SumUp	added
https://www.scandit.com/careers/job-description/?gh_jid=7164841	2026-05-05	greenhouse-api	Data Operations Quality Manager 	Scandit	added
https://job-boards.eu.greenhouse.io/physicsx/jobs/4789254101	2026-05-05	greenhouse-api	Senior Simulation Data Engineer 	PhysicsX	added
https://jobs.ashbyhq.com/synthesia/46650970-494a-4d4b-ab4b-75c2a3b06daf	2026-05-05	ashby-api	Senior Data Engineer	Synthesia	added
https://jobs.ashbyhq.com/synthesia/c11f83bc-46db-4c7b-a2ea-38f2ace507ba	2026-05-05	ashby-api	Senior Analytics Engineer	Synthesia	added
https://jobs.ashbyhq.com/lovable/cfef6fe1-e0c9-4139-8618-b51bfb1dc683	2026-05-05	ashby-api	Data Platform Engineer	Lovable	added
https://jobs.ashbyhq.com/lovable/0c2305f7-6174-4f42-a22d-c8a39fa28c76	2026-05-05	ashby-api	Analytics Engineer	Lovable	added
https://jobs.ashbyhq.com/lovable/a804b92f-cd40-421a-8054-1cefb18f8712	2026-05-05	ashby-api	Analytics Engineer - Marketing	Lovable	added
https://jobs.ashbyhq.com/lovable/081be99e-95bf-4992-9cf2-d16371635ac1	2026-05-05	ashby-api	Analytics Engineer - Finance	Lovable	added
https://job-boards.eu.greenhouse.io/amplemarket/jobs/4108094101	2026-05-05	greenhouse-api	Spontaneous Application - Data Engineer	Amplemarket	added
https://jobs.ashbyhq.com/legora/1382edae-77c5-4b16-b72e-e38f240a55e5	2026-05-05	ashby-api	Senior Analytics Engineer	Legora	added
https://jobs.ashbyhq.com/legora/3f2559f4-5174-4b28-8a04-578829863c18	2026-05-05	ashby-api	Senior Analytics Engineer - Finance 	Legora	added
https://jobs.ashbyhq.com/legora/de9eb38b-a743-49e5-9416-a31a1416c542	2026-05-05	ashby-api	Data Engineer	Legora	added
https://jobs.ashbyhq.com/perplexity/fed8d2c4-9c82-43ad-a168-434146c759ff	2026-05-05	ashby-api	Member of Technical Staff (Analytics Engineer)	Perplexity	added
https://jobs.lever.co/pigment/0aede960-d9cd-45c1-92e4-82e3cb3b2ae2	2026-05-05	lever-api	Data Engineer (Growth Team)	Pigment	added
https://jobs.lever.co/mistral/6f28da96-76f9-44bb-9b85-4e3519fde6d4	2026-05-05	lever-api	Data Engineer	Mistral AI	added
https://jobs.lever.co/mistral/071a5491-ea01-413f-ad78-f85b5e4c2215	2026-05-05	lever-api	Research Engineer, Data Infrastructure	Mistral AI	added
https://jobs.lever.co/spotify/66492688-d5b0-4cf8-b1a4-4a715157edd9	2026-05-05	lever-api	Backend Engineer  - Data Infrastructure	Spotify	added
https://jobs.lever.co/spotify/db6450c7-5017-4aa5-8a64-52e39f1ed525	2026-05-05	lever-api	Backend Engineer - Data Platform	Spotify	added
https://jobs.lever.co/spotify/baa87498-b0a3-4ac5-b197-a224e93c8a07	2026-05-05	lever-api	Backend/Data Engineer - Data Platform	Spotify	added
https://jobs.lever.co/spotify/87ac8be9-799d-414f-b855-70a1cf2729b4	2026-05-05	lever-api	Data Engineer - Gen AI - Music	Spotify	added
https://jobs.lever.co/spotify/4303f795-d0a5-41ed-8c78-0941780b6e54	2026-05-05	lever-api	Data Engineer – Platform	Spotify	added
https://jobs.lever.co/spotify/5d36b6f4-e89d-4a01-985c-59a184080440	2026-05-05	lever-api	Data Engineer I - Revenue	Spotify	added
https://jobs.lever.co/spotify/48e5f3e3-2a32-4088-bb61-684202899d1c	2026-05-05	lever-api	Senior Data Engineer - Cost Platform	Spotify	added
https://jobs.lever.co/spotify/6fe64020-9ec1-4aed-a15c-1c32dcda6248	2026-05-05	lever-api	Senior Fullstack Engineer - Data Platform	Spotify	added
